date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:56:10	705/705	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d3593b-2c1%22	https://html.arisetheme.com/pluxes/images/icon-service-item-2.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-service-item-2.svg	(from https://html.arisetheme.com/pluxes/)
02:56:10	683/683	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d3593c-2ab%22	https://html.arisetheme.com/pluxes/images/icon-service-item-3.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-service-item-3.svg	(from https://html.arisetheme.com/pluxes/)
02:56:11	131598/131598	---M--	200	added ('OK')	image/png	etag:%2269d35940-2020e%22	https://html.arisetheme.com/pluxes/images/our-service-box-image.png	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/our-service-box-image.png	(from https://html.arisetheme.com/pluxes/)
02:56:11	37297/37297	---M--	200	added ('OK')	image/jpeg	etag:%2269d35947-91b1%22	https://html.arisetheme.com/pluxes/images/why-choose-counter-image.jpg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/why-choose-counter-image.jpg	(from https://html.arisetheme.com/pluxes/)
02:56:12	178652/178652	---M--	200	added ('OK')	image/jpeg	etag:%2269d35947-2b9dc%22	https://html.arisetheme.com/pluxes/images/why-choose-body-image.jpg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/why-choose-body-image.jpg	(from https://html.arisetheme.com/pluxes/)
02:56:12	14401/14401	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35949-3841%22	https://html.arisetheme.com/pluxes/images/years-experience-circle-white.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/years-experience-circle-white.svg	(from https://html.arisetheme.com/pluxes/)
02:56:12	106092/106092	---M--	200	added ('OK')	image/png	etag:%2269d35949-19e6c%22	https://html.arisetheme.com/pluxes/images/why-choose-us-image.png	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/why-choose-us-image.png	(from https://html.arisetheme.com/pluxes/)
02:56:12	1243/1243	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d3593e-4db%22	https://html.arisetheme.com/pluxes/images/icon-why-choose-cta-box.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-why-choose-cta-box.svg	(from https://html.arisetheme.com/pluxes/)
02:56:12	1285/1285	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35938-505%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-1.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-1.svg	(from https://html.arisetheme.com/pluxes/)
02:56:13	516/516	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35938-204%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-2.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-2.svg	(from https://html.arisetheme.com/pluxes/)
02:56:13	752/752	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35938-2f0%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-3.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-3.svg	(from https://html.arisetheme.com/pluxes/)
02:56:13	1415/1415	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35938-587%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-4.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-4.svg	(from https://html.arisetheme.com/pluxes/)
02:56:14	1352/1352	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35938-548%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-5.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-5.svg	(from https://html.arisetheme.com/pluxes/)
02:56:14	807/807	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35939-327%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-6.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-6.svg	(from https://html.arisetheme.com/pluxes/)
02:56:14	1873/1873	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2269d35939-751%22	https://html.arisetheme.com/pluxes/images/icon-core-features-item-7.svg	C:/Mes%20Sites%20Web/medoc/html.arisetheme.com/pluxes/images/icon-core-features-item-7.svg	(from https://html.arisetheme.com/pluxes/)
